name,id,summary,reldesc,reltype,relatedEntityName,relatedEntityId,relatedEntitySummary,relatedEntytyType
"JO ALLEN PATTON",6282,"Jo Allen Patton has been a director of Charter since April 2004. Ms. Patton co-founded Vulcan Inc., Mr. Allen's project and investment management firm, in 1986. Since that time she has served as an officer and director of many affiliates of Mr. Allen, including her current position as President and Chief Executive Officer of Vulcan Inc. since July 2001. Also in 2001, Ms. Patton co-founded the Allen Institute for Brain Science, a non-profit institute established to identify and address key issues in neuroscience, particularly those that can advance the understanding of human behavior. Ms. Patton is also President of Vulcan Productions, an independent feature film and documentary production company, Vice Chair of First & Goal, Inc., which developed and operated the Seattle Seahawks NFL stadium, and serves as Executive Director of The Paul G. Allen Family Foundation. Ms. Patton is a co-founder of the Experience Music Project museum, as well as the Science Fiction Museum and Hall of Fame. Ms. Patton is the sister of Mr. Allen.",Director,Position,"CHARTER COMMUNICATIONS, INC.",410,NULL,Org
"STRAUSS ZELNICK",6628,NULL,Director,Position,"BLOCKBUSTER INC.",435,NULL,Org
"STRAUSS ZELNICK",6628,NULL,trustee,Position,"CENTRAL PARK CONSERVANCY",43952,"The Central Park Conservancy is a private, not-for-profit organization founded in 1980 that manages Central Park under a contract with the New York City Department of Parks & Recreation. Thanks to the generosity of many individuals, corporations, foundations, and the City of New York, the Conservancy has invested more than $500 million to date into the Park making it a model for urban parks worldwide. The Conservancy provides 85% of Central Park's $27 million annual operating budget and is responsible for all basic care of the Park.

With 25 million visitors each year to its 843 acres, Central Park is the most frequently visited urban park in the United States.  To manage the Park, Conservancy crews aerate and seed lawns; rake leaves; prune and fertilize trees; plant shrubs and flowers; maintain ballfields and playgrounds; remove graffiti; conserve monuments, bridges, and buildings; and care for waterbodies and woodlands, controlling erosion, maintaining the drainage system, and protecting over 150 acres of lakes and streams from pollution, siltation, and algae.",Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"SENATE AGRICULTURE, NUTRITION, AND FORESTRY COMMITTEE",13008,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"DOMESTIC AND FOREIGN MARKETING, INSPECTION, AND PLANT AND ANIMAL HEALTH  SUBCOMMITTEE",13009,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"NUTRITION AND FOOD ASSISTANCE, SUSTAINABLE AND ORGANIC AGRICULTURE, AND GENERAL LEGISLATION SUBCOMMITTEE",13129,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"RURAL REVITALIZATION, CONSERVATION, FORESTRY, AND CREDIT SUBCOMMITTEE",13011,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"SENATE APPROPRIATIONS COMMITTEE",12933,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"AGRICULTURE AND RURAL DEVELOPMENT SUBCOMMITTEE",135689,NULL,Org
"MITCH MCCONNELL",13450,"A Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, and again in 2008 for the term ending January 3, 2015; Republican party whip (2003-2007); minority leader (2007-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",NULL,Membership,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE",12904,NULL,Org
