IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
92.63.184.222,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-03T04:52:31.736869,pppoe-222-184-63-92.wstel.ru,Russian Federation,,,Link LLC
91.225.156.67,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T04:38:34.813559,67.156.225.91.bielskobiala.net.pl,Poland,Bielsko-biala,,MULTIHUNTER Alicja Kruczek
195.211.235.105,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T04:26:02.756146,,Russian Federation,,,DRLINE Ltd.
43.239.207.81,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T03:59:24.619055,,India,,,Ganesha Internet Services India Private Limited
195.205.175.33,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T03:54:18.174782,,Poland,Lesko,,Orange Polska
216.182.252.54,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T03:49:18.102841,,United States,Tavernier,,TerraNovaNet
188.125.60.142,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T03:44:45.569555,apn-188-125-60-142.dynamic.gprs.plus.pl,Poland,Znin,,Polkomtel Sp. z o.o.
92.38.43.118,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T03:35:36.369570,,Russian Federation,Unecha,,Unecha Television Network
162.245.246.78,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T03:09:49.146980,h24678.basinbroadband.ca,Canada,Castlegar,,Columbia Basin Broadband Corporation
83.167.125.162,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T03:04:45.107079,,Russian Federation,Moscow,,OJSC Comcor
88.162.156.184,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T02:38:30.764839,cro10-2-88-162-156-184.fbx.proxad.net,France,Troyes,,Free SAS
95.215.223.49,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T02:36:57.301574,,Ukraine,,,LLC Hotlan
119.237.5.112,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T02:14:14.985946,n1192375112.netvigator.com,Hong Kong,Central District,,Netvigator
31.19.19.63,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T01:52:39.620117,ip1f13133f.dynamic.kabel-deutschland.de,Germany,,,Vodafone Kabel Deutschland
199.91.115.108,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T01:46:11.715842,dyn-wifi-115-108.megawire.com,Canada,Kitchener,,Megawire
201.20.190.92,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T01:33:15.233302,,Brazil,,,Ipe Informatica Ltda
178.140.55.211,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-03T01:10:17.298900,broadband-178-140-55-211.nationalcablenetworks.ru,Russian Federation,Moscow,,Rostelecom
194.116.59.234,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-03T00:14:25.243514,,Italy,,,Network for Wifi Customers
82.160.33.62,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T23:46:47.590481,,Poland,,,TK Telekom sp. z o.o.
79.189.61.122,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T23:42:24.006200,icj122.internetdsl.tpnet.pl,Poland,,,Orange Polska
64.118.116.118,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T23:34:55.835853,64-118-116-118-rt-broadband-00.broadband.oakhurst.sti.net,United States,Coarsegold,Linux 2.6.x,Sierra Tel Internet
109.214.169.177,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T23:29:48.131351,APoitiers-656-1-616-177.w109-214.abo.wanadoo.fr,France,Soyaux,,Orange
94.158.70.222,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T23:26:42.872160,222-70.1g.net.ua,Ukraine,,,BIGNET LLC
5.88.101.231,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T22:35:27.361878,net-5-88-101-231.cust.vodafonedsl.it,Italy,,,Vodafone Italia DSL
149.71.133.13,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T22:14:49.817194,149-71-133-13.v4.ngi.it,Italy,,Linux 2.6.x,NGI SpA
91.232.91.232,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T22:09:18.337552,91-232-91-232.citylan.com.pl,Poland,Rakoniewice,,CityLAN Lukasz Wajs
213.192.39.50,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T21:52:45.656043,,Czech Republic,Opava,,"UPC Ceska Republica, s.r.o."
185.54.178.35,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T21:51:16.875779,,Russian Federation,,,RegionTelekom LTD
81.174.46.143,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T21:37:50.800717,81-174-46-143.v4.ngi.it,Italy,Mezzanino,,NGI SpA
151.67.243.91,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T21:12:39.309163,,Italy,Rimini,,WIND Telecomunicazioni S.p.A
95.76.224.16,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T20:29:12.786276,,Romania,Bucharest,,UPC Romania SRL
174.102.207.13,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T20:28:26.807530,cpe-174-102-207-13.wi.res.rr.com,United States,,,Time Warner Cable
96.3.201.231,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T19:57:25.368039,96-3-201-231-static.midco.net,United States,Grand Forks,,City of East Grand Forks
93.99.159.26,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T19:56:34.169813,,Czech Republic,Ceska,,"UPC Ceska Republica, s.r.o."
89.76.99.88,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T18:43:02.369993,89-76-99-88.dynamic.chello.pl,Poland,,,UPC Polska
124.120.160.175,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T18:29:36.602351,ppp-124-120-160-175.revip2.asianet.co.th,Thailand,,,True Internet
183.83.102.242,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T18:07:46.488374,broadband.actcorp.in,India,Hyderabad,,Atria Convergence Technologies Pvt. Ltd. Broadband
192.162.96.20,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T17:59:35.310436,cam.hostinne.bartanet.cz,Czech Republic,Hostinne,Linux 2.6.x,"Kaora, s.r.o."
84.53.66.154,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T17:32:22.266407,84-53-66-154.adsl.unet.nl,Netherlands,,,Unet B.V.
87.3.51.36,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T17:19:03.881463,host36-51-dynamic.3-87-r.retail.telecomitalia.it,Italy,Bologna,,Telecom Italia
181.92.119.53,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T16:49:22.819297,host53.181-92-119.telecom.net.ar,Argentina,,,Telecom Personal
184.171.138.111,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T16:30:59.900182,,United States,Franklin,,Dnet Internet Services
92.63.184.145,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T16:20:30.166474,pppoe-145-184-63-92.wstel.ru,Russian Federation,,,Link LLC
12.41.245.144,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T15:39:31.717254,,United States,,,Holiday Inn Express
46.182.131.167,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T15:37:39.090797,ipoe.ks10-b.sibttk.net,Russian Federation,Krasnoyarsk,,Closed Joint Stock Company SibTransTelecom
109.161.84.19,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T15:18:01.445239,109-161-84-19.pppoe.yaroslavl.ru,Russian Federation,Yaroslavl,,Rostelecom
190.190.28.32,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T14:51:19.916722,32-28-190-190.cab.prima.net.ar,Argentina,Buenos Aires,,Cablevision
191.129.83.54,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T14:26:43.755456,,Brazil,,,Tim Celular S.A.
77.68.185.89,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T13:34:33.248861,,Denmark,,,Bredbaand Nord A/S
5.58.137.252,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T13:33:37.736092,host-5-58-137-252.la.net.ua,Ukraine,,,Lanet Network Ltd.
36.57.87.247,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T12:59:30.183324,,China,Hefei,,China Telecom
112.210.77.45,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T12:47:04.217179,112.210.77.45.pldt.net,Philippines,Biasong,,Philippine Long Distance Telephone
188.22.54.140,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T12:19:20.887756,188-22-54-140.adsl.highway.telekom.at,Austria,Graz,,Telekom Austria
91.219.133.212,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T12:13:03.872725,ip212.bbxnet.sk,Slovakia,Slovenska Lupca,,BBX s.r.o.
93.187.28.136,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY, PAUSE

",2017-01-02T12:08:47.623413,,Italy,Chianciano Terme,,Consorzio Terrecablate
87.181.201.29,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T11:10:05.741410,p57B5C91D.dip0.t-ipconnect.de,Germany,Arlewatt,,Deutsche Telekom AG
77.87.41.169,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T10:40:39.948924,unknown-41.7upnet.kiev.ua,Ukraine,,,PE Wadim Khomenko Oleksandrovich
98.102.44.12,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T10:12:01.667145,rrcs-98-102-44-12.central.biz.rr.com,United States,,,Time Warner Cable
195.228.18.187,554,"RTSP/1.0 200 OK
CSeq: 1
Server: UBNT Streaming Server v1.2
Public: DESCRIBE, SETUP, TEARDOWN, PLAY

",2017-01-02T09:56:40.820928,mllnC3E412BB.fixip.t-online.hu,Hungary,Budapest,,Magyar Telekom leased line customers
77.49.23.3,554,"RTSP/1.0 200 OK
CSeq: 1
Server: Hipcam RealServer/V1.0
Public: OPTIONS,DESCRIBE,SETUP,TEARDOWN,PLAY,SET_PARAMETER,GET_PARAMETER

",2017-01-02T09:45:15.813931,77.49.23.3.dsl.dyn.forthnet.gr,Greece,,,FORTHnet SA
